iter	Passed	Remaining
0	10	5041
1	18	4612
2	26	4432
3	34	4283
4	42	4176
5	48	4032
6	57	4027
7	63	3892
8	71	3882
9	77	3807
10	85	3815
11	92	3779
12	100	3748
13	106	3714
14	112	3651
15	119	3613
16	125	3569
17	131	3524
18	137	3482
19	143	3440
20	149	3417
21	155	3381
22	160	3333
23	166	3302
24	171	3257
25	176	3217
26	182	3189
27	187	3157
28	192	3124
29	198	3114
30	204	3089
31	208	3055
32	214	3039
33	220	3018
34	225	2991
35	231	2983
36	236	2962
37	241	2934
38	247	2925
39	252	2905
40	257	2882
41	263	2874
42	268	2852
43	273	2837
44	279	2828
45	284	2812
46	290	2799
47	296	2791
48	301	2775
49	306	2755
50	311	2744
51	317	2731
52	322	2718
53	327	2707
54	333	2697
55	338	2682
56	344	2675
57	349	2663
58	354	2649
59	360	2642
60	365	2629
61	370	2618
62	376	2613
63	382	2602
64	387	2591
65	393	2585
66	399	2580
67	404	2568
68	409	2559
69	414	2548
70	419	2536
71	425	2527
72	430	2517
73	434	2504
74	440	2498
75	445	2486
76	450	2477
77	456	2471
78	461	2460
79	466	2449
80	473	2447
81	478	2440
82	484	2431
83	489	2426
84	495	2417
85	500	2410
86	506	2404
87	511	2395
88	516	2385
89	522	2380
90	527	2372
91	532	2363
92	538	2358
93	543	2347
94	548	2338
95	554	2333
96	559	2325
97	564	2317
98	570	2311
99	576	2304
100	581	2295
101	587	2290
102	592	2282
103	597	2274
104	603	2269
105	608	2261
106	613	2253
107	619	2248
108	624	2240
109	629	2231
110	635	2228
111	641	2220
112	646	2212
113	652	2208
114	657	2200
115	662	2193
116	668	2189
117	674	2182
118	679	2174
119	684	2168
120	689	2160
121	694	2153
122	700	2148
123	706	2141
124	711	2134
125	717	2129
126	722	2121
127	727	2114
128	733	2109
129	738	2103
130	744	2096
131	749	2090
132	754	2082
133	759	2074
134	765	2069
135	771	2063
136	776	2057
137	782	2051
138	787	2044
139	791	2036
140	798	2032
141	803	2025
142	808	2017
143	814	2012
144	819	2005
145	824	1998
146	829	1993
147	835	1987
148	840	1979
149	846	1974
