iter	MultiClass
0	5.093807225
1	5.014968894
2	4.918482847
3	4.832491219
4	4.773717708
5	4.684117676
6	4.593950065
7	4.527634673
8	4.457294276
9	4.387381283
10	4.323672751
11	4.257627851
12	4.169202903
13	4.109709346
14	4.044842604
15	4.013372629
16	3.940774869
17	3.874709247
18	3.816557345
19	3.789178764
20	3.715217608
21	3.676603245
22	3.630202753
23	3.598685042
24	3.562555441
25	3.510024427
26	3.469674151
27	3.432359452
28	3.388347266
29	3.336277424
30	3.31296851
31	3.27465601
32	3.244803272
33	3.229745049
34	3.199358208
35	3.173543092
36	3.141314459
37	3.114837625
38	3.091133173
39	3.053412159
40	3.033210512
41	3.001363687
42	2.974618166
43	2.954255556
44	2.937214468
45	2.904090879
46	2.876645936
47	2.86761658
48	2.838170848
49	2.811253602
50	2.791973929
51	2.76588442
52	2.736332048
53	2.706525186
54	2.68816096
55	2.666398793
56	2.644824677
57	2.631848254
58	2.613417624
59	2.585973028
60	2.565407035
61	2.552165176
62	2.534495004
63	2.520998599
64	2.50536575
65	2.493081934
66	2.469845768
67	2.4611787
68	2.449772768
69	2.432427465
70	2.424415981
71	2.411500639
72	2.384389053
73	2.370166028
74	2.340872645
75	2.325326962
76	2.308192183
77	2.292690739
78	2.285567284
79	2.273250984
80	2.261223188
81	2.23564342
82	2.227609339
83	2.21460434
84	2.207135271
85	2.195829439
86	2.187179268
87	2.180423606
88	2.175053755
89	2.165341976
90	2.145229394
91	2.129986828
92	2.112459895
93	2.10048317
94	2.092539098
95	2.085575075
96	2.077985207
97	2.073697777
98	2.060575699
99	2.048760892
100	2.038716575
101	2.028310006
102	2.016841567
103	2.006840831
104	2.000297977
105	1.993572058
106	1.988885595
107	1.983500637
108	1.97870013
109	1.97438284
110	1.96361346
111	1.947163941
112	1.933000189
113	1.921338909
114	1.914155294
115	1.904252764
116	1.901607577
117	1.891099258
118	1.881579084
119	1.874668941
120	1.868463123
121	1.861984426
122	1.850394063
123	1.84130158
124	1.828820022
125	1.817986903
126	1.806818125
127	1.802079206
128	1.794671677
129	1.790485729
130	1.78246868
131	1.770807204
132	1.762748988
133	1.752237718
134	1.744707035
135	1.738225385
136	1.733961425
137	1.727644239
138	1.712142488
139	1.706664043
140	1.696593998
141	1.691733294
142	1.685623982
143	1.679175103
144	1.674943609
145	1.667060482
146	1.660173461
147	1.650273012
148	1.647863446
149	1.642708747
150	1.633710109
151	1.630686926
152	1.623303321
153	1.616001947
154	1.602928734
155	1.59502673
156	1.590576511
157	1.586327709
158	1.580853303
159	1.577682851
160	1.570509452
161	1.568493375
162	1.565327731
163	1.556328196
164	1.548745137
165	1.546433111
166	1.542097783
167	1.537292894
168	1.531777056
169	1.527025504
170	1.524328836
171	1.519017838
172	1.51240505
173	1.505112707
174	1.49660182
175	1.490759837
176	1.485260337
177	1.481469063
178	1.475984057
179	1.471398094
180	1.468824092
181	1.461228683
182	1.455457014
183	1.449240985
184	1.442292332
185	1.436280976
186	1.432573466
187	1.426838
188	1.421428555
189	1.414451652
190	1.41121024
191	1.405929395
192	1.399272971
193	1.393900015
194	1.386365354
195	1.38116765
196	1.37620214
197	1.37122138
198	1.365546902
199	1.36143744
