iter	MultiClass
0	5.190432419
1	5.096811805
2	4.971725321
3	4.848905571
4	4.736849171
5	4.680006142
6	4.604222499
7	4.530660778
8	4.470935979
9	4.374090377
10	4.294699208
11	4.20166548
12	4.150125202
13	4.068748889
14	3.984846068
15	3.924627336
16	3.872030698
17	3.81101298
18	3.76314009
19	3.711262985
20	3.66258985
21	3.611372936
22	3.562496471
23	3.515699825
24	3.477430108
25	3.420286065
26	3.37474907
27	3.338154622
28	3.300222658
29	3.268746932
30	3.219401831
31	3.17982264
32	3.143824219
33	3.101166183
34	3.075427733
35	3.048921766
36	3.026264662
37	2.998649568
38	2.967174408
39	2.94111103
40	2.916255623
41	2.892761897
42	2.878876456
43	2.856404748
44	2.822596972
45	2.797384556
46	2.776232467
47	2.752670859
48	2.737657587
49	2.722487349
50	2.699555953
51	2.68548519
52	2.672637045
53	2.647272786
54	2.623119639
55	2.605809953
56	2.581939131
57	2.560116159
58	2.536757405
59	2.520720419
60	2.49243744
61	2.475522899
62	2.45630181
63	2.438576716
64	2.420231997
65	2.400455367
66	2.386766324
67	2.365745565
68	2.349327387
69	2.336968455
70	2.321524634
71	2.303302237
72	2.282382896
73	2.274454923
74	2.263772508
75	2.254301541
76	2.242220237
77	2.226406826
78	2.209374841
79	2.20075156
80	2.187738405
81	2.168192738
82	2.154533119
83	2.138829668
84	2.120887899
85	2.107920818
86	2.098366258
87	2.086315652
88	2.076243937
89	2.062414751
90	2.053594348
91	2.045354745
92	2.037141133
93	2.025876675
94	2.018661614
95	2.00440746
96	1.989168811
97	1.981164836
98	1.971037332
99	1.963119005
100	1.95400997
101	1.947564165
102	1.935676312
103	1.928882788
104	1.917068491
105	1.90910969
106	1.895672627
107	1.891179346
108	1.881321494
109	1.870811511
110	1.866166529
111	1.857076969
112	1.841326186
113	1.826949366
114	1.813840541
115	1.808112959
116	1.797178511
117	1.78868034
118	1.781338739
119	1.772229099
120	1.763510019
121	1.755782526
122	1.745990568
123	1.741946467
124	1.735460998
125	1.730821198
126	1.725349454
127	1.719843573
128	1.714248544
129	1.706458488
130	1.700342736
131	1.688619058
132	1.676982294
133	1.672526952
134	1.662924519
135	1.653126425
136	1.648001174
137	1.638632028
138	1.633756887
139	1.629142085
140	1.623727193
141	1.61826708
142	1.610612413
143	1.601923235
144	1.593726689
145	1.590974939
146	1.583477197
147	1.573793919
148	1.565100119
149	1.551667278
150	1.545745953
151	1.539513749
152	1.529326012
153	1.519429358
154	1.513407188
155	1.506142532
156	1.50084501
157	1.494282799
158	1.488078998
159	1.481737814
160	1.479010968
161	1.469119695
162	1.463516434
163	1.460542009
164	1.455828413
165	1.448493555
166	1.445263084
167	1.437223155
168	1.425975085
169	1.421488492
170	1.41148226
171	1.406683024
172	1.401170638
173	1.392938321
174	1.388780355
175	1.385832517
176	1.383208048
177	1.378358245
178	1.370039922
179	1.361919414
180	1.35937191
181	1.353339137
182	1.346828008
183	1.337050666
184	1.33327817
185	1.327835583
186	1.32445205
187	1.32091741
188	1.31274522
189	1.309729367
190	1.306463267
191	1.302133595
192	1.298921443
193	1.293197346
194	1.286231441
195	1.2844233
196	1.280541847
197	1.277074407
198	1.274918815
199	1.268090955
200	1.263538099
201	1.260428503
202	1.253298279
203	1.249596879
204	1.244107686
205	1.239961623
206	1.232673343
207	1.228958386
208	1.224507702
209	1.221132372
210	1.21661035
211	1.213198696
212	1.210209322
213	1.206254315
214	1.200942183
215	1.196060523
216	1.193427023
217	1.190020846
218	1.18311883
219	1.175389237
220	1.173313376
221	1.168895607
222	1.164467247
223	1.161016247
224	1.157598507
225	1.154616493
226	1.150409937
227	1.148692703
228	1.145502121
229	1.143189359
230	1.139818065
231	1.134209217
232	1.131114362
233	1.128476428
234	1.125907905
235	1.121597872
236	1.116400265
237	1.112256869
238	1.1085372
239	1.103627868
240	1.099767261
241	1.097264084
242	1.094816056
243	1.091189974
244	1.088250728
245	1.08535283
246	1.081156471
247	1.07895675
248	1.077177866
249	1.073262908
250	1.071100121
251	1.067871628
252	1.062883112
253	1.060407539
254	1.057370741
255	1.054489744
256	1.051518144
257	1.045906411
258	1.04386361
259	1.040506092
260	1.037505311
261	1.034643143
262	1.033715855
263	1.030400224
264	1.027748261
265	1.021608985
266	1.017337509
267	1.013469706
268	1.009037825
269	1.003804908
270	0.9977471469
271	0.9938018005
272	0.9903471544
273	0.9870378918
274	0.9845506878
275	0.9815208788
276	0.9787472947
277	0.9756267137
278	0.9739514619
279	0.9725470181
280	0.9671988832
281	0.9630635178
282	0.9586875442
283	0.956762867
284	0.9537137988
285	0.9522055201
286	0.9496552298
287	0.9464425361
288	0.9435581756
289	0.9403287384
290	0.9381717913
291	0.936564065
292	0.9307710632
293	0.9276749689
294	0.9264267966
295	0.922584092
296	0.9212390727
297	0.9196315723
298	0.9155027536
299	0.9128737469
300	0.9104579711
301	0.9087954711
302	0.9061132651
303	0.9038515192
304	0.9007326458
305	0.8983758517
306	0.8958490643
307	0.8918577497
308	0.8891973208
309	0.8873992228
310	0.8843613493
311	0.8814681452
312	0.8789986171
313	0.8754216202
314	0.8739556451
315	0.8724016214
316	0.8706823112
317	0.8681815956
318	0.8662290837
319	0.8644105863
320	0.8608607255
321	0.8574239903
322	0.855733777
323	0.8532992561
324	0.8519106768
325	0.84906493
326	0.8450757417
327	0.8431919958
328	0.8422035801
329	0.8403987428
330	0.8389412661
331	0.8371161638
332	0.834276182
333	0.8327829871
334	0.8292122821
335	0.8261888999
336	0.8252401049
337	0.8215987157
338	0.8201016241
339	0.818280617
340	0.8163021413
341	0.8139264773
342	0.8109681751
343	0.8091627648
344	0.8075625834
345	0.8066468133
346	0.8048643223
347	0.8026617035
348	0.8013558989
349	0.8000214373
350	0.7970532273
351	0.7953649712
352	0.7928102003
353	0.7913261736
354	0.7894425671
355	0.7879786597
356	0.7861948805
357	0.7856554388
358	0.7834474931
359	0.7806641822
360	0.7789679121
361	0.7761171444
362	0.7740524654
363	0.7729581509
364	0.7722415365
365	0.7701052737
366	0.7677731156
367	0.7651833863
368	0.7634463065
369	0.7609055408
370	0.7590060008
371	0.7574095519
372	0.7552578901
373	0.7537965342
374	0.7499072692
375	0.7487913327
376	0.7467451064
377	0.7452932084
378	0.742684598
379	0.7396286525
380	0.7377370256
381	0.7355878684
382	0.7347185104
383	0.7338383178
384	0.7325881102
385	0.7302913182
386	0.7280530942
387	0.7268064303
388	0.7256144339
389	0.723758509
390	0.7214839275
391	0.7200461247
392	0.717577167
393	0.7161373861
394	0.714638874
395	0.7132156118
396	0.7120309227
397	0.7110524746
398	0.7099689228
399	0.7076448373
400	0.706375109
401	0.7040517997
402	0.7014139932
403	0.6994610774
404	0.6984294929
405	0.6971377598
406	0.6956341787
407	0.6945878442
408	0.693732582
409	0.6930370615
410	0.6915024541
411	0.6900753085
412	0.6894176089
413	0.6864150795
414	0.6837461906
415	0.6824853241
416	0.6816554026
417	0.6798455302
418	0.678457652
419	0.6768258009
420	0.6753725088
421	0.673754893
422	0.6718456666
423	0.6704760082
424	0.6693464378
425	0.6662569442
426	0.6654289367
427	0.6639759301
428	0.6617394472
429	0.6598419154
430	0.658965396
431	0.6568351932
432	0.6551867558
433	0.6543604734
434	0.6523064485
435	0.6505130742
436	0.649589326
437	0.6482486741
438	0.6465083389
439	0.6449935717
440	0.6439525497
441	0.6430698879
442	0.6410401233
443	0.6395497155
444	0.6382957556
445	0.6373536913
446	0.6361888664
447	0.6346893878
448	0.633667478
449	0.6317029401
450	0.6301939697
451	0.6297316697
452	0.6283196295
453	0.6278874352
454	0.6271545588
455	0.625420878
456	0.6235348482
457	0.620949084
458	0.6201093115
459	0.6189392094
460	0.6175362497
461	0.6170021913
462	0.6155597558
463	0.6143607392
464	0.6127346039
465	0.6115979875
466	0.6102943888
467	0.6089820222
468	0.6071955041
469	0.6064543286
470	0.6057625799
471	0.6050501003
472	0.6034623474
473	0.6022440621
474	0.601264132
475	0.6001515536
476	0.5991108626
477	0.5979397692
478	0.5969830823
479	0.5958767673
480	0.5948089968
481	0.5933305519
482	0.5922460964
483	0.5910231464
484	0.5901492953
485	0.5890421296
486	0.5873461409
487	0.5854000851
488	0.5843831839
489	0.5832457751
490	0.5822985242
491	0.5810558141
492	0.5796295284
493	0.578363909
494	0.5771770182
495	0.5750318907
496	0.5740240337
497	0.5732175836
498	0.572074537
499	0.5713965611
